"Name","Url","Telephone","Latitude","Longitude","Address","County","Photo","Tags"
"Abbey Theatre Tours","https://www.abbeytheatre.ie/experiences/tours-experiences/","0035318787222","53.3483986","-6.257178199999999","26/27 Abbey Street Lower, North City, Dublin City, D01 K0F1","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/54dbf9d3-92ee-4516-a88b-b10084ac2812/abbey-theatre-costume-department.jpg?w=640&q=66&fit=scale","Activity,Activity Operator,Cafe,Food and Drink,Tour"
"Abbeyderg Abbey and Graveyard","https://www.longford.ie/en/visit/explore-the-past/abbeyderg-abbey/abbeyderg-abbey.html","00353433346566","53.6382337","-7.787188899999999","Curraghmore, , ","Longford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/01cac4c2-b749-46ab-a86f-759b11f2f090/e948b29d-8ea0-4be0-88a7-b7d42f8f2e3d_49929.jpg?w=640&q=66&fit=scale","Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins"
"Abbeyfeale Farmers Market","https://www.iomst.ie/market/abbeyfeale-farmers-market/","00353876866450","52.384547","-9.301963","The Square, Abbeyfeale, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/9c265080-954b-46c7-b105-f4352cafba9f/82b80fe0-9e87-4e35-82dc-34063c424d78_80093.jpg?w=640&q=66&fit=scale","Activity,Food and Drink,Experience,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops "
"Abbeyleix Chauffeur Services","https://abbeyleixchauffeurservices.ie/chauffeur-tours-of-ireland/","00353831034327","52.9299434","-7.372373100000001","Boutari House, Ballytarsna, Abbeyleix, ","Laois","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/09c67ee1-7012-4da2-ac58-f79739517cd9/chauffeur-driver-and-car-at-country-house.jpg?w=640&q=66&fit=scale","Activity,Experience,Transport,Activity Operator,Tour,Coach,Road"
"Abbeyleix Golf Club","https://abbeyleixgolfclub.ie/","00353578731450","52.92176300000001","-7.3372447","Rathmoyle Lodge, Ballyroan Rd, Rathmoyle, Abbeyleix, ","Laois","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/3bdeb576-3159-4817-aa7c-786a5d68f535/golfer-walking-along-fairway-at-abbeyleix-golfclub.jpg?w=640&q=66&fit=scale","Golf Course,Activity,Experience,Golf,Activity Operator"
"Abbeyleix Heritage House","https://www.abbeyleixheritage.com/","00353578731653","52.9172919","-7.346411400000001","Heritage House, Rathmoyle, Abbeyleix, ","Laois","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/fec5d455-1b58-4837-a9cb-26bad60078dd/exterior-view-heritage-house-abbeyleix.jpg?w=640&q=66&fit=scale","Activity,Experience,Tracing Your Ancestors,Attraction,Historic Houses and Castle,Museums and Attraction,Tour"
"Abbeyshrule Monastery","https://www.facebook.com/AbbeyshruleAbbey","00353433342577","53.57969142738988","-7.658347078712495","Drumanure, Abbeyshrule, ","Longford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/a1d8b946-7900-483a-915e-f2e30fb7aa01/6ef03f84-4f74-4c91-8ca1-3b8d152e9c43_50326.jpg?w=640&q=66&fit=scale","Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins"
"About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/","00353862352223","51.89841533167159","-8.474005710352685",", Cork City, ","Cork","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/61be69d8-c3b9-4e28-8925-fddfdc38f249/gougane-barra.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Cork Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/cork-tours/","00353862352223","51.8985143","-8.4756035",", , ","Cork","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/d425b2d0-c642-4360-9994-d6de01999af9/about-ireland-taxi-tours-cork-tour.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Limerick Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/limerick-tours/","00353862352223","52.6638367","-8.6267343",", , ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/c1fd4d37-7bcc-4c8a-9ed9-e257baa70817/loop-head.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Waterford Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/waterford-tours/","00353862352223","52.2429391","-7.1083647",", Waterford City, ","Waterford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/92e5ca4d-ee62-461b-9536-f815861e68bf/house-of-waterford-crystal.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Kerry Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/kerry-tours/","00353862352223","52.15446069999999","-9.5668632","Kerry, , ","Kerry","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/52ffcc28-e6b1-44ec-98cd-938d03c9b615/coastal-views-from-conor-pass.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Kilkenny Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/kilkenny-tours/","00353862352223","52.6541454","-7.2447879",", , ","Kilkenny","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/e3f9c6d3-4959-4ecd-bef9-8f4a59077706/the-rock-of-cashel%20.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Dublin Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/explore-ireland-about-ireland-taxi-tours/","00353862352223","53.3498053","-6.2603097",", , ","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/8cfac66d-8ec3-4926-9154-f4564967ae22/tour-at-powerscourt-gardens.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Galway Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/galway-tours/","00353862352223","53.27056400000001","-9.0566819",", Galway City, ","Galway","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/6c81e157-7cd7-48a6-acf5-bfbf265e030e/lakeshore-views-of-kylemore-abbey.jpeg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Acapulco Mexican Restaurant","https://www.acapulco.ie/","0035316771085","53.343616","-6.264233299999999","7 South Great George's Street, Dublin, D02 EV81","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/3b66fea9-acc4-4ec2-b520-ece96aa695a3/8c6b73be-8134-42a2-8c61-d39b2dbccec2_51935.jpg?w=640&q=66&fit=scale","Activity,Food and Drink,Restaurant"
"Accessibility Tours Ireland","https://www.accessibilitytoursireland.com/","00353862352223","51.8985143","-8.4756035",", , ","Cork","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/f377808d-0d30-4e8a-8108-010865e3505d/Three-wheelchair-accessible-taxis.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"ACET - Cork Language Centre International","https://www.acetireland.ie","00353214551661","51.9022032","-8.4692546","Wellington House, 16 St Patrick's Pl, Wellington Rd, , T23 AK82","Cork","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/1c8c0586-09dd-469e-b604-b2c7b3953f70/acet-class.jpg?w=640&q=66&fit=scale","Activity,Experience,Learning"
"Achill Archaeological Field School - Scoil Seandálúil Acla","https://achill-fieldschool.com/","00353861755838","53.9747652","-10.1285782","Achill Folklife Centre, Dooagh, Achill Island, , F28 HK11","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/e349fa6e-c7ea-41df-99b5-18f93f982d89/ruins-of-medieval-house-achill.jpg?w=640&q=66&fit=scale","Activity,Experience,Learning,Activity Operator"
"Achill Bikes - Bike Rental","https://www.achillbikes.com/","00353872437686","53.9740896","-10.1327073","R319, Co. Mayo, Ireland, Keel West, Dooagh, , F28 R2P7","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/de4fe535-81cb-4fbf-a630-36b0bcbf18c7/achill-bikes-on-achill-island.jpg?w=640&q=66&fit=scale","Activity,Experience,Cycling,Activity Operator,Bike Rental"
"Achill Cliff House Restaurant","https://www.achillcliff.com/en/restaurant/about-restaurant","003539843400","53.976098","-10.0810517","Keel, Keel East, Achill Island, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/65e96afb-fcbc-4e99-b43f-f9020288c2e0/5e37eea1-a151-4fd2-b4fe-6c3f82957a2c_89509.jpg?w=640&q=66&fit=scale","Activity,Food and Drink,Experience,Restaurant"
"Achill Experience Aquarium & Visitor Centre","https://achillexperience.ie/","003539843292","53.98398299999999","-10.080603","Crumpaun, Keel East, Achill, , F28 TX49","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/4fbbd3f6-c3e7-46a2-998f-5e6c488dc1ee/star-fish-at-achill-experience.jpg?w=640&q=66&fit=scale","Activity,Experience,Attraction,Zoos and Aquarium,Museums and Attraction,Nature and Wildlife,Food Shops ,Shopping"
"Achill Golf Club","https://achillgolf.com/","003539843456","53.97578","-10.0676021","The Sandy Banks Keel Achill Island, Keel East, Westport, F28 CX62","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/e76bc62b-1f81-41da-acc6-1fa2b18cf2dd/f43b4e56-6dd9-4e66-a494-3906d9ed3891_49339.jpg?w=640&q=66&fit=scale","Golf Course,Activity,Experience,Golf,Activity Operator"
"Achill Heritage Centre","https://achillheritagecentre.wordpress.com/","00353863406396","53.97036749999999","-9.979417299999998","Bunacurry, , F28 V4K7","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/41ff88c2-c1c0-482a-b578-f3863e27fd95/achill-heritage-centre-old-stone-building-exterior.jpg?w=640&q=66&fit=scale","Activity,Experience,Learning,Tracing Your Ancestors,Attraction,Museums and Attraction"
"Achill Island (Acaill)","https://achilltourism.com/","003539820400","53.9517526424668","-9.99389294297557","Achill Tourism, Davitt Quater, Achill Sound, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/80c05ce0-7b8c-427d-bbf1-7f48deaf35a1/header-sea-cliffs-achill-island-county-mayo.jpg?w=640&q=66&fit=scale","Activity,Experience,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cycling,Fishing,Angling,Golf,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking ,Walking,Island,Attraction,Offshore Island"
"Achill Island Distillery","https://irishamericanwhiskeys.com/","003539847898","53.97062769999999","-9.9827429","Unit 2 udaras na gaeltachta Bunnacurry Achill Island, Bunacurry, Westport, F28 AY75","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/eaf15b48-7b74-40e3-95e4-e2329fd8fa56/car-and-copper-pots.jpg?w=640&q=66&fit=scale","Activity,Experience,Food and Drink,Restaurant,Learning,Attraction,Museums and Attraction,Tour"
"Achill Island Heritage Tours","https://www.achillcoaches.com/","00353858505025","53.97327317397073","-10.136807550076355","Dooagh, Achill Island, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/ac171360-6f93-41f7-ab3e-154e50cd9a6f/07c9476b-9de7-452c-862d-79a9f345ae5d_96909.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Achill Island Sea Salt","https://achillislandseasalt.ie/","003539847856","53.9780747","-9.9825784","Bunacurry, Achill, , F28 HT29","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/192d0395-03dc-42f0-87b5-e3efd0d889c4/achill-island-sea-salt.jpg?w=640&q=66&fit=scale","Activity,Experience,Craft,Shopping,Artisan,Food and Drink,Restaurant,Food Shops ,Tour"
"Achill Island Tours","https://www.achillislandtours.ie/","00353838772715","53.2749746","-9.0456481","Fairgreen Rd, , H91 CX90","Galway","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/297b864e-534d-4488-9e43-7ae6c086681d/kell-beach.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour"
"Achill Isle Walks","https://www.achillislewalks.ie/","00353868439683","53.97251999999999","-10.091673","Keel East, Keel, Newtown, ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/0dfe6dec-4047-4c63-8861-0d3d4203bb4f/keel-beach-and-village-on-achill-island.jpg?w=640&q=66&fit=scale","Activity,Experience,Walking ,Walking,Activity Operator,Nature and Wildlife,Tour"
"Achill Outdoor Education & Training Centre","https://achilloutdoor.ie/","003539847253","53.95762430000001","-9.968569200000001","Achill, Cashel, ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/6b2dbcbc-aa0f-485b-9f60-e591c7657d5d/group-of-girls-with-surf-boards-on-beach.jpg?w=640&q=66&fit=scale","Activity,Experience,Climbing,Activity Operator,Kayaking,Kitesurfing,Windsurfing,Learning,Sailing,Surfing,Walking ,Walking,Adventure Center"
"Achill Sea Safari","https://www.achill-sea-safari.com/","00353896037322","53.9642395","-10.1027544","Achill island, Achill, westport, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/73bd3235-7383-49c3-baad-46bd250765b1/achill-sea-safari.jpeg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour"
"Achill Seascape","https://www.achillseascape.ie/","00353877723077","53.88000109999999","-9.947166499999998","Small pier, Cloghmore, Achill, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/3044f2cd-f403-461d-ba68-98fc121f080a/achill-rib.jpeg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Nature and Wildlife,Boat,Tour"
"Achill Seaweed Baths","https://www.facebook.com/AchillSeaweedBaths","00353877171713","53.9776589","-10.0451336","Dookinelly (Calvy), , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/b3b4952f-161c-40b7-922f-db8cb2625ecc/5c117684-0849-4111-99b0-b66d5d58f4e6_92679.jpg?w=640&q=66&fit=scale","Activity,Experience,Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
"Achill Surf Education & Adventure Centre","https://achillsurf.com/","00353851554376","53.973296","-10.073069","Achill Island Co Mayo *, Keel East, , ","Mayo","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/78da7db4-d3ca-49e8-87b6-9ec40457c29d/people-surfing-in-the-water.jpg?w=640&q=66&fit=scale","Activity,Experience,Climbing,Activity Operator,Cycling,Kayaking,Surfing,Walking ,Walking"
"Acorn Restaurant at the Castle Oaks House Hotel & Estate","https://www.castleoaks.ie/acorn-restaurant/","0035361377666","52.7095835","-8.5085681","Stradbally North, Castleconnell, V94 EH94","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/96df94f1-f985-41d1-ae86-d11f3dbb5504/624d04b7-31a9-4f29-8bff-99e49732ced2_12815.jpg?w=640&q=66&fit=scale","Activity,Food and Drink,Experience,Restaurant"
"Activate Waterford","https://activatewaterford.ie/","0035351325097","52.24238099999999","-7.089560899999999","Williamstown House, Williamstown Rd, Ardkeen, ","Waterford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/9a24c7b1-095d-493e-a5c3-f7e9d479b48f/activate-waterford-climbing-wall.jpg?w=640&q=66&fit=scale","Activity,Experience,Climbing,Activity Operator,Movies,Cinema,Venue,Cafe,Food and Drink"
"Active Breaks","https://www.activebreaks.ie/bikerental","00353871844530","52.27229680000001","-6.3856314","Active Breaks, Station Road, Doogans Warren, Rosslare, ","Wexford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/9ab0078e-0e2c-4578-b2ad-4cf06c779b17/church-ruin.jpg?w=640&q=66&fit=scale","Activity,Experience,Cycling,Activity Operator,Bike Rental,Tour"
"Active Tribe Courtown","https://www.activetribe.ie/","00353539425354","52.6486064","-6.228840299999999","Active Tribe Courtown, Courtown Harbour, Ballinatray Lower, Gorey, ","Wexford","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/85fbbbf8-25d3-4b53-98d9-7bb73317743b/exterior-view-active-tribe-courtown.jpg?w=640&q=66&fit=scale","Activity,Experience,Learning,Swimming,Swimming Pools and Water Park,Venue,Zip Lining,Activity Operator,Fitness and Leisure,Swimming Pool,Cafe,Food and Drink"
"Activities Ireland","https://activitiesireland.ie/","0035315056794","53.3583925","-6.449117799999999","11 Main St, Lucan Village, Lucan, ","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/c60d081e-71b6-46d1-bc71-7a105cf692df/de0d6d36-a683-4a1d-b0ce-df0317c02c66_87471.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Venue,Sports Venues,Tour"
"Activity Days","https://activitydays.ie/","00353873306306","51.9395051","-8.5674229","10 Bracken Wood, Blarney, ","Cork","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/a9cf0a03-f0a3-4b4b-ac22-b05acca2cef3/64b5e97e-3696-4190-bf7d-a5868e89a0e0_94635.jpg?w=640&q=66&fit=scale","Activity,Cycling,Food and Drink,Restaurant,Kayaking,Activity Operator,Sailing,Walking ,Walking,Nature and Wildlife,Tour"
"Adam Ladd Tours","https://www.adamladdtours.com/","00353851572537","53.3403825","-6.300785799999999","Bellavista, 46 Cameron Square, Kilmainham, Dublin, D08 W83F","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/c4258272-c000-45d5-bcc2-1782367fdc21/40%20steps.PNG?w=640&q=66&fit=scale","Activity,Activity Operator,Tour"
"Adams & Butler","https://www.adamsandbutler.com/destinations/ireland/","0035312889355","53.2692808","-6.1667652","Aspen Court, 2 Bray Rd, Cornelscourt, , D18 K3T2","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/c3d1ed30-1f86-4d8c-b020-5169afdf0450/dingle-peninsula-trip-with-adams-and-butler.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Nature and Wildlife,Tour"
"Adare Cottage","https://adarecottage.ie/","0035361396422","52.56482639999999","-8.7867137","Adare Cottage Shop, Main Street, Adare, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/b5a6fe70-0fca-4597-9de8-290d8d9f1e9c/adare-cottage-shop-front-exterior.jpg?w=640&q=66&fit=scale","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"The Golf Course at Adare Manor","https://www.adaremanor.com/golf/","0035361605200","52.5710227","-8.7827067","Limerick Road, Adare, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/c5b8d4ad-2aa2-4122-837c-e7b1458af3bd/adare-manor.jpg?w=640&q=66&fit=scale","Golf Course,Activity,Experience,Golf,Driving Range,General,Golf Driving Range,Food and Drink,Restaurant,Activity Operator,Food Shops ,Shopping"
"Adare Heritage Centre","https://www.adareheritagecentre.ie/","0035361396666","52.5647887","-8.789831300000001","Main St, Blackabbey, Adare, V94 DWV7","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/887077ca-63ee-446d-97f1-fa6e69f2fcdf/ba7fb416-7382-467f-8622-fb9754dbb82b_13382.jpg?w=640&q=66&fit=scale","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Tracing Your Ancestors,Attraction,Museums and Attraction,Cafe,Food and Drink,Food Shops ,Tour"
"Adare Village & Riverbank Walk",,"","52.56208570551605","-8.793213826074293",", Adare, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/2b966ee3-08ec-46fc-ac42-69c39e3d37aa/f2f28d99-c48c-4e08-9e65-3c3d5dba883c_90946.jpg?w=640&q=66&fit=scale","Activity,Walking ,Walking"
"Adare Walking Tours","https://www.facebook.com/adarewalkingtours/","00353879623120","52.5647615","-8.7881817","N21, Blackabbey, Adare, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/38902506-3be8-4790-a75b-9a8d6f558424/adare-walking-tours.jpg?w=640&q=66&fit=scale","Activity,Experience,Activity Operator,Tour,Walking"
"Adare Walks","https://www.facebook.com/AdareWalks","00353868980278","52.5636339","-8.7925892",", Adare, ","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/d884f13f-ff67-4b4f-a5b5-6f7f1238f075/adare_walks_group.jpg?w=640&q=66&fit=scale","Activity,Activity Operator,Tour,Walking"
"Adare Woollens","https://adarewoollens.com/","0035361396922","52.5646866","-8.789861799999999","The Heritage Centre, Blackabbey, Adare, V94 DWV7","Limerick","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/686830be-ce24-427f-bd4e-6ee24d9b137d/420b9dae-3240-4e34-a466-edb10433efc7_87450.jpg?w=640&q=66&fit=scale","Activity,Experience,Craft,Shopping,Shopping Centres and Department Store,Food Shops "
"Adelaide Memorial Church","http://www.myshalldrumphea.com/adelaide-church.htm","","52.684946","-6.778635",", Myshall, ","Carlow","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/3cce7e38-950d-4174-95eb-e3e3da5c1075/4f7a3fb8-7701-4209-bbbf-d230d1473dd5_48708.jpg?w=640&q=66&fit=scale","Activity,Experience,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery"
"Adelaide Road Presbyterian Church","https://www.adelaideroadchurch.ie/","0035312694944","53.33250790000001","-6.2587834","Adelaide Road Presbyterian Church, 18A Adelaide Rd, Saint Kevin's, Dublin, D02 HP49","Dublin","https://assets-eu-01.kc-usercontent.com:443/aa24ba70-9a12-01ae-259b-7ef588a0b2ef/2b9825a4-a2c6-4eea-be63-c5aa379a0162/front-of-adelaide-road-presbyterian-church-dublin.jpg?w=640&q=66&fit=scale","Activity,Church Abbey,Monastery,Attraction,Churches, Abbeys and Monastery"
